INFO 2024-12-29 14:03:34,208 qindao_meeting_status Scheduler started successfully
2024-12-29 14:03:34,208 - INFO - qindao_meeting_status Scheduler started successfully
2024-12-29 14:03:34,208 - INFO - qindao_meeting_status Scheduler started successfully
INFO 2024-12-29 14:03:34,232 Watching for file changes with StatReloader
INFO 2024-12-29 14:03:52,693 Scheduler started successfully
2024-12-29 14:03:52,693 - INFO - Scheduler started successfully
INFO 2024-12-29 14:03:52,719 qindao_meeting_status Scheduler started successfully
2024-12-29 14:03:52,719 - INFO - qindao_meeting_status Scheduler started successfully
2024-12-29 14:03:52,719 - INFO - qindao_meeting_status Scheduler started successfully
INFO 2024-12-29 14:03:54,382 Scheduler started successfully
2024-12-29 14:03:54,382 - INFO - Scheduler started successfully
INFO 2024-12-29 14:03:54,408 qindao_meeting_status Scheduler started successfully
2024-12-29 14:03:54,408 - INFO - qindao_meeting_status Scheduler started successfully
2024-12-29 14:03:54,408 - INFO - qindao_meeting_status Scheduler started successfully
INFO 2024-12-29 14:03:54,433 Watching for file changes with StatReloader
INFO 2024-12-29 14:05:52,694 当前时间: 2024-12-29 14:05:52.694208+08:00 - 开始更新会议状态
2024-12-29 14:05:52,694 - INFO - 当前时间: 2024-12-29 14:05:52.694208+08:00 - 开始更新会议状态
2024-12-29 14:05:52,694 - INFO - 褰撳墠鏃堕棿: 2024-12-29 14:05:52.694208+08:00 - 寮�濮嬫洿鏂颁細璁姸鎬�
INFO 2024-12-29 14:05:52,703 更新了 0 个已过期会议的状态为 '已结束'
2024-12-29 14:05:52,703 - INFO - 更新了 0 个已过期会议的状态为 '已结束'
2024-12-29 14:05:52,703 - INFO - 鏇存柊浜� 0 涓凡杩囨湡浼氳鐨勭姸鎬佷负 '宸茬粨鏉�'
INFO 2024-12-29 14:05:52,703 今天没有需要更新的会议状态
2024-12-29 14:05:52,703 - INFO - 今天没有需要更新的会议状态
2024-12-29 14:05:52,703 - INFO - 浠婂ぉ娌℃湁闇�瑕佹洿鏂扮殑浼氳鐘舵��
INFO 2024-12-29 14:05:54,389 当前时间: 2024-12-29 14:05:54.388287+08:00 - 开始更新会议状态
INFO 2024-12-29 14:05:54,410 更新了 0 个已过期会议的状态为 '已结束'
INFO 2024-12-29 14:05:54,411 今天没有需要更新的会议状态
INFO 2024-12-29 14:07:17,800 Scheduler started successfully
2024-12-29 14:07:17,800 - INFO - Scheduler started successfully
INFO 2024-12-29 14:07:19,455 Scheduler started successfully
2024-12-29 14:07:19,455 - INFO - Scheduler started successfully
INFO 2024-12-29 14:07:19,480 Watching for file changes with StatReloader
INFO 2024-12-29 14:07:29,423 D:\git\dtdx\qiandao\apps.py changed, reloading.
